Predicted Salary,Actual Salary,Error,Absolute Error,Age,Gender,Education Level,Job Title,Years of Experience
153606.59722222228,150000.0,-3606.597222222277,3606.597222222277,,,,,
101843.04563492064,65000.0,-36843.04563492065,36843.04563492065,,,,,
123902.14582802817,125000.0,1097.854171971834,1097.854171971834,,,,,
86964.871031746,80000.0,-6964.871031746006,6964.871031746006,,,,,
150826.10119047618,140000.0,-10826.101190476184,10826.101190476184,,,,,
178191.71807359305,180000.0,1808.2819264069549,1808.2819264069549,,,,,
145430.19841269834,160000.0,14569.801587301656,14569.801587301656,,,,,
105739.8908730159,120000.0,14260.109126984098,14260.109126984098,,,,,
50872.51984126985,50000.0,-872.5198412698519,872.5198412698519,,,,,
91359.56349206348,95000.0,3640.436507936509,3640.436507936509,,,,,
139637.59462759463,140000.0,362.4053724053665,362.4053724053665,,,,,
148684.7817460317,160000.0,11315.218253968313,11315.218253968313,,,,,
42016.28075396825,40000.0,-2016.2807539682472,2016.2807539682472,,,,,
100428.87896825396,95000.0,-5428.87896825395,5428.87896825395,,,,,
62502.51984126983,65000.0,2497.48015873017,2497.48015873017,,,,,
158646.27976190482,160000.0,1353.7202380951785,1353.7202380951785,,,,,
65743.6607142857,90000.0,24256.339285714304,24256.339285714304,,,,,
48371.67936507936,50000.0,1628.3206349206375,1628.3206349206375,,,,,
82216.27976190476,90000.0,7783.720238095237,7783.720238095237,,,,,
98465.09469696973,95000.0,-3465.094696969725,3465.094696969725,,,,,
109263.31349206352,110000.0,736.6865079364798,736.6865079364798,,,,,
101209.126984127,105000.0,3790.873015873003,3790.873015873003,,,,,
183407.8986291486,190000.0,6592.101370851393,6592.101370851393,,,,,
60951.298840048825,70000.0,9048.701159951175,9048.701159951175,,,,,
110068.501984127,120000.0,9931.498015872989,9931.498015872989,,,,,
53182.71645021644,50000.0,-3182.716450216438,3182.716450216438,,,,,
176457.10497835494,180000.0,3542.895021645061,3542.895021645061,,,,,
55935.68253968251,,,,,,,,
148093.86634199126,140000.0,-8093.866341991263,8093.866341991263,,,,,
159468.2142857143,170000.0,10531.78571428571,10531.78571428571,,,,,
48035.11904761903,45000.0,-3035.119047619032,3035.119047619032,,,,,
112683.87896825392,100000.0,-12683.87896825392,12683.87896825392,,,,,
48968.59126984127,60000.0,11031.408730158728,11031.408730158728,,,,,
146856.95339382836,150000.0,3143.046606171644,3143.046606171644,,,,,
96524.64285714284,115000.0,18475.35714285716,18475.35714285716,,,,,
36981.45833333334,35000.0,-1981.458333333343,1981.458333333343,,,,,
163031.29960317464,180000.0,16968.700396825356,16968.700396825356,,,,,
42846.06700937951,50000.0,7153.932990620488,7153.932990620488,,,,,
39484.63293650795,35000.0,-4484.632936507951,4484.632936507951,,,,,
52435.17676767676,50000.0,-2435.176767676763,2435.176767676763,,,,,
42071.39880952381,40000.0,-2071.398809523809,2071.398809523809,,,,,
89306.86507936509,95000.0,5693.134920634911,5693.134920634911,,,,,
196590.18849206343,250000.0,53409.81150793654,53409.81150793654,,,,,
173719.99222999226,170000.0,-3719.992229992262,3719.992229992262,,,,,
40344.22619047618,40000.0,-344.22619047618355,344.22619047618355,,,,,
158174.91792929295,140000.0,-18174.917929292948,18174.917929292948,,,,,
111269.78174603176,120000.0,8730.21825396824,8730.21825396824,,,,,
52063.10966810969,65000.0,12936.89033189031,12936.89033189031,,,,,
40074.643849206346,55000.0,14925.356150793654,14925.356150793654,,,,,
40451.0515873016,40000.0,-451.0515873015975,451.0515873015975,,,,,
105079.87103174604,120000.0,14920.12896825395,14920.12896825395,,,,,
91719.16666666666,90000.0,-1719.166666666657,1719.166666666657,,,,,
86188.73286435785,85000.0,-1188.7328643578512,1188.7328643578512,,,,,
91996.97420634922,100000.0,8003.025793650784,8003.025793650784,,,,,
174788.69047619044,170000.0,-4788.690476190444,4788.690476190444,,,,,
60210.37622100119,60000.0,-210.37622100119188,210.37622100119188,,,,,
213605.7837301586,170000.0,-43605.78373015861,43605.78373015861,,,,,
68541.875,60000.0,-8541.875,8541.875,,,,,
50093.63906926406,45000.0,-5093.639069264063,5093.639069264063,,,,,
90822.41071428572,100000.0,9177.58928571429,9177.58928571429,,,,,
89560.89285714284,100000.0,10439.10714285716,10439.10714285716,,,,,
140870.71428571432,140000.0,-870.714285714319,870.714285714319,,,,,
174880.01297313796,180000.0,5119.987026862043,5119.987026862043,,,,,
67825.05952380953,75000.0,7174.940476190473,7174.940476190473,,,,,
40448.98809523808,40000.0,-448.9880952380845,448.9880952380845,,,,,
40634.7619047619,40000.0,-634.761904761901,634.761904761901,,,,,
50872.51984126985,50000.0,-872.5198412698519,872.5198412698519,,,,,
122788.24404761908,110000.0,-12788.244047619082,12788.244047619082,,,,,
42071.39880952381,40000.0,-2071.398809523809,2071.398809523809,,,,,
35002.319345238095,30000.0,-5002.319345238095,5002.319345238095,,,,,
85764.00793650794,75000.0,-10764.007936507944,10764.007936507944,,,,,
98694.55357142858,90000.0,-8694.55357142858,8694.55357142858,,,,,
158174.91792929295,160000.0,1825.0820707070525,1825.0820707070525,,,,,
146743.62006049504,150000.0,3256.3799395049573,3256.3799395049573,,,,,
99218.73015873016,110000.0,10781.269841269836,10781.269841269836,,,,,
56973.14484126982,56649.14484126982,324.0,324.0,30.0,Male,High School,Data Scientist,5.0
